Tweet,Polarity,Subjectivity
"#Corona Info for #USA:
New Cases: 6762
Today Recovery: 36489
Today Deaths: 96
Total Active Cases: 921546
Total Cases: 106611512
Total Recovery: 104530304
Total Deaths: 1159662
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",0.0005050505050505036,0.6757575757575758
"#Corona Info for #USA:
New Cases: 3947
Today Recovery: 27895
Today Deaths: 39
Total Active Cases: 922643
Total Cases: 106603932
Total Recovery: 104521710
Total Deaths: 1159579
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",0.0005050505050505036,0.6757575757575758
"#Corona Info for #USA:
New Cases: 2876
Today Recovery: 17905
Today Deaths: 21
Total Active Cases: 925814
Total Cases: 106597047
Total Recovery: 104511720
Total Deaths: 1159513
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",0.0005050505050505036,0.6757575757575758
"@ChrisGriscom on the #corona #virus #COVID19: 
https://t.co/bDpocYu1I9",0.0,0.0
"#Corona Info for #USA:
New Cases: 2041
Today Recovery: 4926
Today Deaths: 18
Total Active Cases: 931398
Total Cases: 106589595
Total Recovery: 104498741
Total Deaths: 1159456
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",0.0005050505050505036,0.6757575757575758
"#covid19 #covid #corona #vaccine #sarscov2 #pandemic

“He always joked that GB stood for “genetic bullet”, but the ever-growing team quietly understood that they worked for the Genetic Bioweapon Lab.”

Paperback or $2.99 eBook https://t.co/qjxyJ74t3n https://t.co/ol96nqtAUh",0.0,0.3333333333333333
"#Corona Info for #USA:
New Cases: 1691
Today Recovery: 2123
Today Deaths: 15
Total Active Cases: 931799
Total Cases: 106587169
Total Recovery: 104495938
Total Deaths: 1159432
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram.",0.0005050505050505036,0.6757575757575758
"@ChrisGriscom on the #corona #virus #COVID19: 
https://t.co/bDpocYu1I9",0.0,0.0
Rand Paul Asks Samantha Power: 'Did USAID Fund Coronavirus Research? https://t.co/OFJ9HKr4Yy  #COVID19 #Corona #oversterfte,0.0,0.0
"RT @dsureshkumar: 421 patients test positive for #COVID19 in Tamil Nadu today (April 26). Here is the update. 

#Corona https://t.co/4LS3jA…",0.22727272727272727,0.5454545454545454
